name	YB1_aer_MinION_count	YB1_aer_0508_count	YB1_ana_v2_count	YB1_ana_0507_count	YB1_ana_0508_count	YB1_aer_clone_0516_count	YB1_ana_clone_0516_count	SL7207_aer_0507_count	SL7207_aer_0509_count	SL7207_ana_0509_count	dAsd_aer_0511_count	dAsd_ana_0512_count	dAsd_aer_0514_count	dAsd_ana_0514_count	PW_aer_0515_count	PW_ana_0515_count	YB1_aer_MinION_cpm	YB1_aer_0508_cpm	YB1_ana_v2_cpm	YB1_ana_0507_cpm	YB1_ana_0508_cpm	YB1_aer_clone_0516_cpm	YB1_ana_clone_0516_cpm	SL7207_aer_0507_cpm	SL7207_aer_0509_cpm	SL7207_ana_0509_cpm	dAsd_aer_0511_cpm	dAsd_ana_0512_cpm	dAsd_aer_0514_cpm	dAsd_ana_0514_cpm	PW_aer_0515_cpm	PW_ana_0515_cpm
thrL	37	78	27	79	89	10	62	19	24	100	88	94	11	87	33	60	129.92	91.13	194.76	94.90	179.11	11.66	74.80	26.30	40.49	77.47	98.94	101.64	36.51	92.24	34.65	65.80
thrA	3	8	0	8	5	8	7	8	2	9	5	4	0	8	7	7	10.53	9.35	0.00	9.61	10.06	9.33	8.45	11.07	3.37	6.97	5.62	4.32	0.00	8.48	7.35	7.68
thrB	3	6	3	7	6	7	7	4	5	9	6	10	2	5	5	8	10.53	7.01	21.64	8.41	12.07	8.16	8.45	5.54	8.44	6.97	6.75	10.81	6.64	5.30	5.25	8.77
thrC	3	13	3	15	8	12	16	15	12	31	13	19	3	13	9	22	10.53	15.19	21.64	18.02	16.10	13.99	19.30	20.76	20.25	24.02	14.62	20.54	9.96	13.78	9.45	24.13
yaaA	3	7	0	9	4	11	6	10	13	20	12	20	1	14	6	16	10.53	8.18	0.00	10.81	8.05	12.83	7.24	13.84	21.93	15.49	13.49	21.62	3.32	14.84	6.30	17.55
SL1344_RS00030	1	8	0	11	2	10	7	15	16	17	13	8	3	11	4	6	3.51	9.35	0.00	13.21	4.02	11.66	8.45	20.76	26.99	13.17	14.62	8.65	9.96	11.66	4.20	6.58
tal	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	2	0.00	0.00	0.00	1.20	0.00	1.17	2.41	0.00	0.00	0.00	1.12	0.00	0.00	0.00	0.00	2.19
mog	4	6	1	19	5	21	8	11	20	24	10	10	2	8	7	14	14.05	7.01	7.21	22.82	10.06	24.49	9.65	15.23	33.74	18.59	11.24	10.81	6.64	8.48	7.35	15.35
satP	1	7	0	7	1	11	2	2	11	8	4	1	4	9	10	2	3.51	8.18	0.00	8.41	2.01	12.83	2.41	2.77	18.56	6.20	4.50	1.08	13.28	9.54	10.50	2.19
msyB	0	3	0	7	1	1	0	2	8	6	17	17	7	28	2	1	0.00	3.50	0.00	8.41	2.01	1.17	0.00	2.77	13.50	4.65	19.11	18.38	23.23	29.69	2.10	1.10
SL1344_RS00055	0	0	0	2	0	1	1	3	3	4	15	17	5	18	0	2	0.00	0.00	0.00	2.40	0.00	1.17	1.21	4.15	5.06	3.10	16.87	18.38	16.59	19.08	0.00	2.19
dnaK	16	60	11	225	118	85	49	40	33	239	134	105	34	52	64	62	56.18	70.10	79.35	270.28	237.47	99.12	59.12	55.37	55.68	185.16	150.66	113.53	112.84	55.13	67.20	68.00
dnaJ	11	14	2	48	22	41	9	2	16	97	24	32	5	27	28	26	38.63	16.36	14.43	57.66	44.27	47.81	10.86	2.77	26.99	75.15	26.98	34.60	16.59	28.63	29.40	28.52
SL1344_RS00070	0	1	0	1	2	1	0	0	0	2	0	0	0	0	1	1	0.00	1.17	0.00	1.20	4.02	1.17	0.00	0.00	0.00	1.55	0.00	0.00	0.00	0.00	1.05	1.10
SL1344_RS00075	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	1	0.00	0.00	0.00	2.40	2.01	0.00	0.00	1.38	0.00	0.00	0.00	0.00	3.32	0.00	0.00	1.10
SL1344_RS00080	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.00	0.00	0.00	1.20	0.00	0.00	0.00	0.00	0.00	0.77	0.00	0.00	0.00	0.00	0.00	1.10
SL1344_RS00085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SL1344_RS00090	0	3	0	6	3	0	2	1	1	2	0	5	1	1	2	1	0.00	3.50	0.00	7.21	6.04	0.00	2.41	1.38	1.69	1.55	0.00	5.41	3.32	1.06	2.10	1.10
SL1344_RS00095	0	6	1	5	2	8	1	7	3	11	4	9	1	4	5	3	0.00	7.01	7.21	6.01	4.02	9.33	1.21	9.69	5.06	8.52	4.50	9.73	3.32	4.24	5.25	3.29
SL1344_RS00100	0	1	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0.00	1.17	0.00	0.00	0.00	1.17	0.00	0.00	3.37	0.00	0.00	1.08	0.00	0.00	1.05	0.00
SL1344_RS00105	0	1	0	1	0	1	0	0	0	1	2	0	0	2	0	1	0.00	1.17	0.00	1.20	0.00	1.17	0.00	0.00	0.00	0.77	2.25	0.00	0.00	2.12	0.00	1.10
bcfB	0	1	0	0	0	1	1	2	2	0	0	3	0	2	0	1	0.00	1.17	0.00	0.00	0.00	1.17	1.21	2.77	3.37	0.00	0.00	3.24	0.00	2.12	0.00	1.10
bcfC	0	1	0	1	4	2	2	2	4	6	1	3	0	8	3	2	0.00	1.17	0.00	1.20	8.05	2.33	2.41	2.77	6.75	4.65	1.12	3.24	0.00	8.48	3.15	2.19
SL1344_RS00120	0	0	0	1	0	0	1	3	2	1	2	2	0	0	0	1	0.00	0.00	0.00	1.20	0.00	0.00	1.21	4.15	3.37	0.77	2.25	2.16	0.00	0.00	0.00	1.10
SL1344_RS00125	0	0	0	0	0	0	0	4	1	2	1	1	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.54	1.69	1.55	1.12	1.08	0.00	0.00	0.00	2.19
SL1344_RS00130	0	2	0	1	1	0	1	0	0	2	0	1	0	2	0	4	0.00	2.34	0.00	1.20	2.01	0.00	1.21	0.00	0.00	1.55	0.00	1.08	0.00	2.12	0.00	4.39
bcfG	1	3	0	2	0	2	0	3	0	1	0	0	0	1	0	2	3.51	3.50	0.00	2.40	0.00	2.33	0.00	4.15	0.00	0.77	0.00	0.00	0.00	1.06	0.00	2.19
SL1344_RS00140	11	21	2	10	11	2	3	10	4	6	12	25	2	12	5	6	38.63	24.53	14.43	12.01	22.14	2.33	3.62	13.84	6.75	4.65	13.49	27.03	6.64	12.72	5.25	6.58
SL1344_RS00145	0	1	0	3	1	0	0	0	1	2	1	0	0	1	2	0	0.00	1.17	0.00	3.60	2.01	0.00	0.00	0.00	1.69	1.55	1.12	0.00	0.00	1.06	2.10	0.00
SL1344_RS00150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00
SL1344_RS00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.05	0.00
SL1344_RS00160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.05	0.00
SL1344_RS00165	0	1	0	0	0	0	1	0	1	1	0	2	0	2	3	0	0.00	1.17	0.00	0.00	0.00	0.00	1.21	0.00	1.69	0.77	0.00	2.16	0.00	2.12	3.15	0.00
SL1344_RS00170	1	5	0	0	1	0	1	7	5	4	9	6	2	2	1	4	3.51	5.84	0.00	0.00	2.01	0.00	1.21	9.69	8.44	3.10	10.12	6.49	6.64	2.12	1.05	4.39
SL1344_RS00175	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.77	1.12	0.00	3.32	1.06	0.00	0.00
SL1344_RS00180	1	4	0	1	1	2	2	4	1	6	10	4	2	7	1	0	3.51	4.67	0.00	1.20	2.01	2.33	2.41	5.54	1.69	4.65	11.24	4.32	6.64	7.42	1.05	0.00
SL1344_RS00185	1	4	0	2	3	2	4	3	4	1	1	8	1	5	3	3	3.51	4.67	0.00	2.40	6.04	2.33	4.83	4.15	6.75	0.77	1.12	8.65	3.32	5.30	3.15	3.29
SL1344_RS00190	0	1	0	2	0	1	1	0	2	1	2	0	0	1	0	0	0.00	1.17	0.00	2.40	0.00	1.17	1.21	0.00	3.37	0.77	2.25	0.00	0.00	1.06	0.00	0.00
SL1344_RS00195	1	10	2	9	5	3	8	6	5	12	11	9	3	3	6	6	3.51	11.68	14.43	10.81	10.06	3.50	9.65	8.31	8.44	9.30	12.37	9.73	9.96	3.18	6.30	6.58
