name	YB1_aer_MinION_count	YB1_aer_0508_count	YB1_ana_v2_count	YB1_ana_0507_count	YB1_ana_0508_count	YB1_aer_clone_0516_count	YB1_ana_clone_0516_count	SL7207_aer_0507_count	SL7207_aer_0509_count	SL7207_ana_0509_count	dAsd_aer_0511_count	dAsd_ana_0512_count	dAsd_aer_0514_count	dAsd_ana_0514_count	PW_aer_0515_count	PW_ana_0515_count	YB1_aer_MinION_cpm	YB1_aer_0508_cpm	YB1_ana_v2_cpm	YB1_ana_0507_cpm	YB1_ana_0508_cpm	YB1_aer_clone_0516_cpm	YB1_ana_clone_0516_cpm	SL7207_aer_0507_cpm	SL7207_aer_0509_cpm	SL7207_ana_0509_cpm	dAsd_aer_0511_cpm	dAsd_ana_0512_cpm	dAsd_aer_0514_cpm	dAsd_ana_0514_cpm	PW_aer_0515_cpm	PW_ana_0515_cpm
Thr_leader	37	79	27	79	89	10	62	19	24	100	88	94	11	87	33	60	129.92	92.30	194.76	94.90	179.11	11.66	74.80	26.30	40.49	77.47	98.94	101.64	36.51	92.24	34.65	65.80
PK-repZ	183	606	131	421	380	83	165	407	148	387	374	963	119	480	195	147	642.60	708.01	944.95	505.72	764.74	96.79	199.06	563.37	249.70	299.82	420.51	1041.24	394.95	508.90	204.75	161.22
Plasmid_R1162	5	21	4	17	5	17	23	11	19	34	13	15	5	19	15	19	17.56	24.53	28.85	20.42	10.06	19.82	27.75	15.23	32.06	26.34	14.62	16.22	16.59	20.14	15.75	20.84
AS-traI	41	207	50	98	114	4	38	145	18	46	117	253	16	140	81	15	143.97	241.84	360.67	117.72	229.42	4.66	45.84	200.71	30.37	35.64	131.55	273.55	53.10	148.43	85.05	16.45
AS-traG	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.69	0.77	0.00	1.08	3.32	1.06	1.05	0.00
tpke11	9	27	3	114	63	61	22	12	15	127	97	58	12	33	37	25	31.60	31.54	21.64	136.94	126.79	71.14	26.54	16.61	25.31	98.39	109.06	62.71	39.83	34.99	38.85	27.42
STnc890	4	5	1	26	15	23	4	1	10	57	10	11	2	9	15	14	14.05	5.84	7.21	31.23	30.19	26.82	4.83	1.38	16.87	44.16	11.24	11.89	6.64	9.54	15.75	15.35
STnc3200	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	1	0.00	0.00	0.00	2.40	2.01	0.00	0.00	1.38	0.00	0.00	0.00	0.00	3.32	0.00	0.00	1.10
STnc3210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FinP	0	0	2	1	2	4	1	1	1	2	1	1	0	2	2	2	0.00	0.00	14.43	1.20	4.02	4.66	1.21	1.38	1.69	1.55	1.12	1.08	0.00	2.12	2.10	2.19
traJ_5	0	0	2	1	2	4	1	1	1	2	1	1	0	2	2	2	0.00	0.00	14.43	1.20	4.02	4.66	1.21	1.38	1.69	1.55	1.12	1.08	0.00	2.12	2.10	2.19
STnc1010	0	0	0	0	0	0	0	0	0	0	5	2	1	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.62	2.16	3.32	3.18	1.05	1.10
sok	441	2017	641	1398	1290	139	661	1340	459	1298	1074	1890	323	1536	1255	785	1548.56	2356.53	4623.75	1679.34	2596.09	162.10	797.45	1854.83	774.41	1005.60	1207.55	2043.55	1072.00	1628.49	1317.74	860.95
AgrB	52	1197	33	813	680	79	401	745	209	502	715	1389	176	1141	223	245	182.60	1398.49	238.04	976.61	1368.48	92.13	483.78	1031.23	352.62	388.91	803.91	1501.85	584.12	1209.71	234.15	268.70
STnc30	2	22	0	17	8	15	4	11	32	45	9	5	5	11	9	10	7.02	25.70	0.00	20.42	16.10	17.49	4.83	15.23	53.99	34.86	10.12	5.41	16.59	11.66	9.45	10.97
STnc3220	1	4	0	4	6	3	4	10	5	15	4	3	1	5	3	3	3.51	4.67	0.00	4.80	12.07	3.50	4.83	13.84	8.44	11.62	4.50	3.24	3.32	5.30	3.15	3.29
STnc4160	1	4	3	1	5	0	3	4	7	5	7	9	0	3	2	4	3.51	4.67	21.64	1.20	10.06	0.00	3.62	5.54	11.81	3.87	7.87	9.73	0.00	3.18	2.10	4.39
STnc3090	1	4	3	1	5	0	3	4	7	5	7	9	0	3	2	4	3.51	4.67	21.64	1.20	10.06	0.00	3.62	5.54	11.81	3.87	7.87	9.73	0.00	3.18	2.10	4.39
DapZ	2	4	1	16	10	5	9	4	4	8	18	24	7	18	7	15	7.02	4.67	7.21	19.22	20.12	5.83	10.86	5.54	6.75	6.20	20.24	25.95	23.23	19.08	7.35	16.45
C4	47	409	24	431	242	39	109	181	160	503	262	301	82	294	246	169	165.04	477.85	173.12	517.74	487.02	45.48	131.50	250.54	269.95	389.69	294.58	325.45	272.15	311.70	258.30	185.35
CopA	151	617	118	248	211	74	90	643	165	340	140	287	61	263	167	98	530.23	720.86	851.17	297.91	424.63	86.30	108.58	890.04	278.38	263.41	157.41	310.32	202.45	278.84	175.35	107.48
naRNA4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.12	0.00	3.32	0.00	0.00	1.10
