run_accession,corpus
DRR316920,NCBI_Salmonella_Stage2
DRR316921,NCBI_Salmonella_Stage2
DRR316922,NCBI_Salmonella_Stage2
DRR316923,NCBI_Salmonella_Stage2
DRR316924,NCBI_Salmonella_Stage2
DRR316925,NCBI_Salmonella_Stage2
DRR316926,NCBI_Salmonella_Stage2
DRR316927,NCBI_Salmonella_Stage2
DRR316928,NCBI_Salmonella_Stage2
DRR316929,NCBI_Salmonella_Stage2
DRR316930,NCBI_Salmonella_Stage2
DRR316931,NCBI_Salmonella_Stage2
DRR316932,NCBI_Salmonella_Stage2
DRR316933,NCBI_Salmonella_Stage2
DRR316934,NCBI_Salmonella_Stage2
DRR316935,NCBI_Salmonella_Stage2
DRR316936,NCBI_Salmonella_Stage2
DRR316937,NCBI_Salmonella_Stage2
DRR316938,NCBI_Salmonella_Stage2
DRR316939,NCBI_Salmonella_Stage2
DRR316940,NCBI_Salmonella_Stage2
DRR316941,NCBI_Salmonella_Stage2
DRR316942,NCBI_Salmonella_Stage2
DRR316943,NCBI_Salmonella_Stage2
DRR316944,NCBI_Salmonella_Stage2
DRR316945,NCBI_Salmonella_Stage2
DRR316946,NCBI_Salmonella_Stage2
DRR316947,NCBI_Salmonella_Stage2
DRR316948,NCBI_Salmonella_Stage2
DRR316949,NCBI_Salmonella_Stage2
DRR316950,NCBI_Salmonella_Stage2
DRR316951,NCBI_Salmonella_Stage2
DRR316952,NCBI_Salmonella_Stage2
DRR316953,NCBI_Salmonella_Stage2
DRR316954,NCBI_Salmonella_Stage2
DRR316955,NCBI_Salmonella_Stage2
DRR316956,NCBI_Salmonella_Stage2
DRR316957,NCBI_Salmonella_Stage2
DRR316958,NCBI_Salmonella_Stage2
DRR316959,NCBI_Salmonella_Stage2
DRR316960,NCBI_Salmonella_Stage2
DRR316961,NCBI_Salmonella_Stage2
DRR316962,NCBI_Salmonella_Stage2
DRR316963,NCBI_Salmonella_Stage2
DRR316964,NCBI_Salmonella_Stage2
DRR316965,NCBI_Salmonella_Stage2
DRR316966,NCBI_Salmonella_Stage2
DRR316967,NCBI_Salmonella_Stage2
DRR316968,NCBI_Salmonella_Stage2
DRR316969,NCBI_Salmonella_Stage2
DRR316970,NCBI_Salmonella_Stage2
DRR316971,NCBI_Salmonella_Stage2
DRR316972,NCBI_Salmonella_Stage2
DRR316973,NCBI_Salmonella_Stage2
DRR689954,NCBI_Salmonella_Stage2
DRR689955,NCBI_Salmonella_Stage2
DRR689956,NCBI_Salmonella_Stage2
DRR689957,NCBI_Salmonella_Stage2
DRR793835,NCBI_Salmonella_Stage2
DRR793836,NCBI_Salmonella_Stage2
DRR793837,NCBI_Salmonella_Stage2
DRR793838,NCBI_Salmonella_Stage2
ERR12796655,NCBI_Salmonella_Stage2
ERR12796656,NCBI_Salmonella_Stage2
ERR12796657,NCBI_Salmonella_Stage2
ERR12796658,NCBI_Salmonella_Stage2
ERR12796659,NCBI_Salmonella_Stage2
ERR12796660,NCBI_Salmonella_Stage2
ERR12796661,NCBI_Salmonella_Stage2
ERR12796662,NCBI_Salmonella_Stage2
ERR1337876,NCBI_Salmonella_Stage2
ERR1337877,NCBI_Salmonella_Stage2
ERR1337878,NCBI_Salmonella_Stage2
ERR1337879,NCBI_Salmonella_Stage2
ERR1337880,NCBI_Salmonella_Stage2
ERR1337881,NCBI_Salmonella_Stage2
ERR1337882,NCBI_Salmonella_Stage2
ERR1337883,NCBI_Salmonella_Stage2
ERR1337884,NCBI_Salmonella_Stage2
ERR1337885,NCBI_Salmonella_Stage2
ERR1337886,NCBI_Salmonella_Stage2
ERR1337887,NCBI_Salmonella_Stage2
ERR1337888,NCBI_Salmonella_Stage2
ERR1337889,NCBI_Salmonella_Stage2
ERR1337890,NCBI_Salmonella_Stage2
ERR1337891,NCBI_Salmonella_Stage2
ERR1337892,NCBI_Salmonella_Stage2
ERR1337893,NCBI_Salmonella_Stage2
ERR13587508,NCBI_Salmonella_Stage2
ERR13587509,NCBI_Salmonella_Stage2
ERR13587512,NCBI_Salmonella_Stage2
ERR13587513,NCBI_Salmonella_Stage2
ERR13587515,NCBI_Salmonella_Stage2
ERR13847258,NCBI_Salmonella_Stage2
ERR13847259,NCBI_Salmonella_Stage2
ERR13847260,NCBI_Salmonella_Stage2
ERR13847261,NCBI_Salmonella_Stage2
ERR13847262,NCBI_Salmonella_Stage2
ERR13847263,NCBI_Salmonella_Stage2
ERR14185169,NCBI_Salmonella_Stage2
ERR14185170,NCBI_Salmonella_Stage2
ERR14185171,NCBI_Salmonella_Stage2
ERR14185172,NCBI_Salmonella_Stage2
ERR14185174,NCBI_Salmonella_Stage2
ERR14185175,NCBI_Salmonella_Stage2
ERR14185176,NCBI_Salmonella_Stage2
ERR14185177,NCBI_Salmonella_Stage2
ERR14185179,NCBI_Salmonella_Stage2
ERR14185180,NCBI_Salmonella_Stage2
ERR14185181,NCBI_Salmonella_Stage2
ERR14185182,NCBI_Salmonella_Stage2
ERR14185183,NCBI_Salmonella_Stage2
ERR14185184,NCBI_Salmonella_Stage2
ERR14185185,NCBI_Salmonella_Stage2
ERR14185186,NCBI_Salmonella_Stage2
ERR14185187,NCBI_Salmonella_Stage2
ERR14185188,NCBI_Salmonella_Stage2
ERR14185189,NCBI_Salmonella_Stage2
ERR14185191,NCBI_Salmonella_Stage2
ERR14185192,NCBI_Salmonella_Stage2
ERR15766067,NCBI_Salmonella_Stage2
ERR15766069,NCBI_Salmonella_Stage2
ERR15766071,NCBI_Salmonella_Stage2
ERR15766073,NCBI_Salmonella_Stage2
ERR15766074,NCBI_Salmonella_Stage2
ERR15766075,NCBI_Salmonella_Stage2
ERR1706698,NCBI_Salmonella_Stage2
ERR1706699,NCBI_Salmonella_Stage2
ERR1706700,NCBI_Salmonella_Stage2
ERR1706701,NCBI_Salmonella_Stage2
ERR1706703,NCBI_Salmonella_Stage2
ERR1706708,NCBI_Salmonella_Stage2
ERR1706709,NCBI_Salmonella_Stage2
ERR1706714,NCBI_Salmonella_Stage2
ERR1706715,NCBI_Salmonella_Stage2
ERR1706719,NCBI_Salmonella_Stage2
ERR1706720,NCBI_Salmonella_Stage2
ERR1706722,NCBI_Salmonella_Stage2
ERR1706723,NCBI_Salmonella_Stage2
ERR1706725,NCBI_Salmonella_Stage2
ERR1706726,NCBI_Salmonella_Stage2
ERR1706727,NCBI_Salmonella_Stage2
ERR1706728,NCBI_Salmonella_Stage2
ERR1706730,NCBI_Salmonella_Stage2
ERR1706731,NCBI_Salmonella_Stage2
ERR1706733,NCBI_Salmonella_Stage2
ERR1706734,NCBI_Salmonella_Stage2
ERR1706737,NCBI_Salmonella_Stage2
ERR1706739,NCBI_Salmonella_Stage2
ERR1706740,NCBI_Salmonella_Stage2
ERR1706743,NCBI_Salmonella_Stage2
ERR1706745,NCBI_Salmonella_Stage2
ERR1706746,NCBI_Salmonella_Stage2
ERR1706747,NCBI_Salmonella_Stage2
ERR1706748,NCBI_Salmonella_Stage2
ERR1706753,NCBI_Salmonella_Stage2
ERR1706754,NCBI_Salmonella_Stage2
ERR1706755,NCBI_Salmonella_Stage2
ERR1706756,NCBI_Salmonella_Stage2
ERR1706757,NCBI_Salmonella_Stage2
ERR1706758,NCBI_Salmonella_Stage2
ERR1706759,NCBI_Salmonella_Stage2
ERR1706760,NCBI_Salmonella_Stage2
ERR1706761,NCBI_Salmonella_Stage2
ERR1706762,NCBI_Salmonella_Stage2
ERR1706763,NCBI_Salmonella_Stage2
ERR1706764,NCBI_Salmonella_Stage2
ERR1706765,NCBI_Salmonella_Stage2
ERR1706766,NCBI_Salmonella_Stage2
ERR1706767,NCBI_Salmonella_Stage2
ERR1706768,NCBI_Salmonella_Stage2
ERR1706769,NCBI_Salmonella_Stage2
ERR1735734,NCBI_Salmonella_Stage2
ERR1735735,NCBI_Salmonella_Stage2
ERR1735737,NCBI_Salmonella_Stage2
ERR1735738,NCBI_Salmonella_Stage2
ERR1821108,NCBI_Salmonella_Stage2
ERR1821109,NCBI_Salmonella_Stage2
ERR1821110,NCBI_Salmonella_Stage2
ERR1821111,NCBI_Salmonella_Stage2
ERR1821112,NCBI_Salmonella_Stage2
ERR1821114,NCBI_Salmonella_Stage2
ERR1821118,NCBI_Salmonella_Stage2
ERR1821119,NCBI_Salmonella_Stage2
ERR1952210,NCBI_Salmonella_Stage2
ERR1952211,NCBI_Salmonella_Stage2
ERR1952214,NCBI_Salmonella_Stage2
ERR1952215,NCBI_Salmonella_Stage2
ERR1952216,NCBI_Salmonella_Stage2
ERR1952217,NCBI_Salmonella_Stage2
ERR1952218,NCBI_Salmonella_Stage2
ERR1952220,NCBI_Salmonella_Stage2
ERR2020347,NCBI_Salmonella_Stage2
ERR2020348,NCBI_Salmonella_Stage2
ERR2020349,NCBI_Salmonella_Stage2
ERR2020350,NCBI_Salmonella_Stage2
ERR2020351,NCBI_Salmonella_Stage2
ERR2020352,NCBI_Salmonella_Stage2
ERR2116781,NCBI_Salmonella_Stage2
ERR2116782,NCBI_Salmonella_Stage2
ERR2116783,NCBI_Salmonella_Stage2
ERR2116784,NCBI_Salmonella_Stage2
ERR3453914,NCBI_Salmonella_Stage2
