ckpt_id,stage,seed,condition_mode,bam,cosine,mse_or_std,n_genes_in_set
v5_stage1_S0,stage1,0,context_conditioned_completion_srna_n5,YB1_aer_MinION,-0.4694,68.3116,5
v5_stage1_S0,stage1,0,context_conditioned_completion_srna_n5,YB1_aer_0508,-0.5021,58.5387,11
v5_stage1_S0,stage1,0,context_conditioned_completion_srna_n5,YB1_ana_v2,-0.3047,51.7982,5
v5_stage1_S0,stage1,0,context_conditioned_completion_srna_n5,YB1_ana_0507,-0.3257,46.4806,10
v5_stage1_S0,stage1,0,context_conditioned_completion_srna_n5,YB1_ana_0508,-0.5410,60.7545,15
v5_stage1_S1,stage1,1,context_conditioned_completion_srna_n5,YB1_aer_MinION,-0.1409,65.9006,5
v5_stage1_S1,stage1,1,context_conditioned_completion_srna_n5,YB1_aer_0508,-0.3324,56.6865,11
v5_stage1_S1,stage1,1,context_conditioned_completion_srna_n5,YB1_ana_v2,-0.7284,55.6677,5
v5_stage1_S1,stage1,1,context_conditioned_completion_srna_n5,YB1_ana_0507,0.2152,43.0876,10
v5_stage1_S1,stage1,1,context_conditioned_completion_srna_n5,YB1_ana_0508,-0.2660,56.9761,15
v5_stage1_S42,stage1,42,context_conditioned_completion_srna_n5,YB1_aer_MinION,0.4769,59.1521,5
v5_stage1_S42,stage1,42,context_conditioned_completion_srna_n5,YB1_aer_0508,-0.0282,51.1580,11
v5_stage1_S42,stage1,42,context_conditioned_completion_srna_n5,YB1_ana_v2,0.7041,43.0045,5
v5_stage1_S42,stage1,42,context_conditioned_completion_srna_n5,YB1_ana_0507,0.4966,40.5205,10
v5_stage1_S42,stage1,42,context_conditioned_completion_srna_n5,YB1_ana_0508,0.1932,50.7523,15
v5_stage2_S0,stage2,0,context_conditioned_completion_srna_n5,YB1_aer_MinION,0.9319,12.2079,5
v5_stage2_S0,stage2,0,context_conditioned_completion_srna_n5,YB1_aer_0508,0.8245,25.0441,11
v5_stage2_S0,stage2,0,context_conditioned_completion_srna_n5,YB1_ana_v2,0.7406,26.8873,5
v5_stage2_S0,stage2,0,context_conditioned_completion_srna_n5,YB1_ana_0507,0.8954,12.4909,10
v5_stage2_S0,stage2,0,context_conditioned_completion_srna_n5,YB1_ana_0508,0.8159,23.6415,15
v5_stage2_S1,stage2,1,context_conditioned_completion_srna_n5,YB1_aer_MinION,0.9519,12.0259,5
v5_stage2_S1,stage2,1,context_conditioned_completion_srna_n5,YB1_aer_0508,0.8762,25.0388,11
v5_stage2_S1,stage2,1,context_conditioned_completion_srna_n5,YB1_ana_v2,0.8828,13.3370,5
v5_stage2_S1,stage2,1,context_conditioned_completion_srna_n5,YB1_ana_0507,0.9422,11.7839,10
v5_stage2_S1,stage2,1,context_conditioned_completion_srna_n5,YB1_ana_0508,0.8771,18.6262,15
v5_stage2_S42,stage2,42,context_conditioned_completion_srna_n5,YB1_aer_MinION,0.9540,17.1039,5
v5_stage2_S42,stage2,42,context_conditioned_completion_srna_n5,YB1_aer_0508,0.8429,31.0897,11
v5_stage2_S42,stage2,42,context_conditioned_completion_srna_n5,YB1_ana_v2,0.8774,14.6083,5
v5_stage2_S42,stage2,42,context_conditioned_completion_srna_n5,YB1_ana_0507,0.9232,14.4354,10
v5_stage2_S42,stage2,42,context_conditioned_completion_srna_n5,YB1_ana_0508,0.8644,20.8817,15
v5_stage2v2_1_S0,stage2v2_1,0,context_conditioned_completion_srna_n7,YB1_aer_MinION,0.9055,4.6363,74
v5_stage2v2_1_S0,stage2v2_1,0,context_conditioned_completion_srna_n7,YB1_aer_0508,0.8826,5.8353,88
v5_stage2v2_1_S0,stage2v2_1,0,context_conditioned_completion_srna_n7,YB1_ana_v2,0.9154,4.9256,61
v5_stage2v2_1_S0,stage2v2_1,0,context_conditioned_completion_srna_n7,YB1_ana_0507,0.8806,5.7315,92
v5_stage2v2_1_S0,stage2v2_1,0,context_conditioned_completion_srna_n7,YB1_ana_0508,0.9026,5.5250,85
v5_stage2v2_1_S0,stage2v2_1,0,context_conditioned_completion_srna_n7,YB1_aer_clone_0516,0.8770,4.7940,89
v5_stage2v2_1_S0,stage2v2_1,0,context_conditioned_completion_srna_n7,YB1_ana_clone_0516,0.8873,5.0408,90
v5_stage2v2_1_S1,stage2v2_1,1,context_conditioned_completion_srna_n7,YB1_aer_MinION,0.7323,19.0888,74
v5_stage2v2_1_S1,stage2v2_1,1,context_conditioned_completion_srna_n7,YB1_aer_0508,0.7357,21.1349,88
v5_stage2v2_1_S1,stage2v2_1,1,context_conditioned_completion_srna_n7,YB1_ana_v2,0.7279,21.9209,61
v5_stage2v2_1_S1,stage2v2_1,1,context_conditioned_completion_srna_n7,YB1_ana_0507,0.7481,19.4190,92
v5_stage2v2_1_S1,stage2v2_1,1,context_conditioned_completion_srna_n7,YB1_ana_0508,0.7601,22.8623,85
v5_stage2v2_1_S1,stage2v2_1,1,context_conditioned_completion_srna_n7,YB1_aer_clone_0516,0.7518,14.3228,89
v5_stage2v2_1_S1,stage2v2_1,1,context_conditioned_completion_srna_n7,YB1_ana_clone_0516,0.7403,17.5695,90
v5_stage2v2_1_S42,stage2v2_1,42,context_conditioned_completion_srna_n7,YB1_aer_MinION,0.9051,5.0868,74
v5_stage2v2_1_S42,stage2v2_1,42,context_conditioned_completion_srna_n7,YB1_aer_0508,0.8903,5.4664,88
v5_stage2v2_1_S42,stage2v2_1,42,context_conditioned_completion_srna_n7,YB1_ana_v2,0.9154,6.7678,61
v5_stage2v2_1_S42,stage2v2_1,42,context_conditioned_completion_srna_n7,YB1_ana_0507,0.8941,5.0117,92
v5_stage2v2_1_S42,stage2v2_1,42,context_conditioned_completion_srna_n7,YB1_ana_0508,0.9124,5.0911,85
v5_stage2v2_1_S42,stage2v2_1,42,context_conditioned_completion_srna_n7,YB1_aer_clone_0516,0.8871,4.3667,89
v5_stage2v2_1_S42,stage2v2_1,42,context_conditioned_completion_srna_n7,YB1_ana_clone_0516,0.8980,4.4885,90
v5_stage3_S0,stage3,0,context_conditioned_completion_srna_n5,YB1_aer_MinION,0.9925,1.2530,5
v5_stage3_S0,stage3,0,context_conditioned_completion_srna_n5,YB1_aer_0508,0.9670,3.3597,11
