gene,YB1_vs_WT_aer,dAsd_vs_WT_aer,residual_aer(YB1-dAsd),YB1_vs_WT_ana,dAsd_vs_WT_ana,residual_ana
SL1344_RS00030,-0.9076,-0.9477,0.0401,-0.4786,-0.1027,-0.3759
SL1344_RS00055,-0.9653,3.082,-4.0473,-2.3644,1.5371,-3.9015
SL1344_RS00070,0.6197,0.1434,0.4763,2.7648,-0.5333,3.2981
SL1344_RS00075,0.6197,1.7284,-1.1087,1.5425,-0.5333,2.0758
SL1344_RS00080,0.6197,0.1434,0.4763,-1.6275,-2.1183,0.4908
SL1344_RS00085,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS00090,1.1051,-0.5936,1.6987,1.8835,0.8452,1.0383
SL1344_RS00095,-0.3132,-0.7895,0.4763,-0.6592,-0.413,-0.2462
SL1344_RS00100,0.6197,-1.4416,2.0613,-0.0425,1.0517,-1.0942
SL1344_RS00105,2.2046,2.4653,-0.2607,-0.0425,-0.5333,0.4908
SL1344_RS00120,-2.5502,-0.7046,-1.8456,1.5425,1.0517,0.4908
SL1344_RS00125,-2.1877,-2.6639,0.4762,-0.0425,-0.5333,0.4908
SL1344_RS00130,2.2046,0.1434,2.0612,-0.0425,-0.5333,0.4908
SL1344_RS00140,1.188,0.1434,1.0446,1.6833,1.9951,-0.3118
SL1344_RS00145,2.2046,1.7284,0.4762,0.6945,-0.5333,1.2278
SL1344_RS00150,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS00155,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS00160,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS00165,0.6197,-1.4416,2.0613,-1.6275,0.6891,-2.3166
SL1344_RS00170,-0.734,0.0122,-0.7462,-1.6275,0.3842,-2.0117
SL1344_RS00175,0.6197,2.4653,-1.8456,-1.6275,-0.5333,-1.0942
SL1344_RS00180,0.3302,1.0763,-0.7461,-1.421,0.0142,-1.4352
SL1344_RS00185,-0.4799,-1.4416,0.9617,3.4169,4.2216,-0.8047
SL1344_RS00190,-1.7022,0.1434,-1.8456,-0.0425,-0.5333,0.4908
SL1344_RS00195,0.4884,0.4778,0.0106,0.0685,-0.5333,0.6018
SL1344_RS00210,-0.2283,-1.4416,1.2133,0.6096,-1.7557,2.3653
SL1344_RS00215,1.8421,-1.4416,3.2837,-0.0425,0.6891,-0.7316
SL1344_RS00225,0.6197,-1.4416,2.0613,1.5425,-0.5333,2.0758
SL1344_RS00255,0.0633,0.2544,-0.1911,0.1985,0.5308,-0.3323
SL1344_RS00265,-0.1173,-2.1785,2.0612,-3.2124,-2.1183,-1.0941
SL1344_RS00270,-0.7789,-1.0141,0.2352,-0.2738,-0.8959,0.6221
SL1344_RS00275,-1.7022,-2.1785,0.4763,1.5425,1.0517,0.4908
SL1344_RS00285,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS00385,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS00390,-0.9653,-1.4416,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS00395,-1.7022,0.6288,-2.331,-1.6275,-0.5333,-1.0942
SL1344_RS00405,-1.8828,-0.2436,-1.6392,-0.5279,1.1829,-1.7108
SL1344_RS00410,0.6197,0.8804,-0.2607,1.1799,0.6891,0.4908
SL1344_RS00415,-0.9653,0.1434,-1.1087,1.1799,1.0517,0.1282
SL1344_RS00430,-3.4678,-2.3591,-1.1087,-1.9685,-3.1963,1.2278
SL1344_RS00500,-0.9653,-0.7046,-0.2607,3.6579,1.0517,2.6062
SL1344_RS00505,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS00530,0.1343,0.1434,-0.0091,1.5425,-0.5333,2.0758
SL1344_RS00660,-0.3456,0.1434,-0.489,-0.0425,0.4432,-0.4857
SL1344_RS00720,-1.7358,0.1762,-1.912,0.3381,0.9772,-0.6391
SL1344_RS00755,-0.6027,-1.079,0.4763,-1.9685,-1.3218,-0.6467
SL1344_RS00760,-0.6027,-1.079,0.4763,-0.7795,-0.5333,-0.2462
SL1344_RS00790,-1.7022,-0.5936,-1.1086,-1.6275,-2.1183,0.4908
SL1344_RS00795,1.3566,1.3658,-0.0092,-0.0425,1.0517,-1.0942
SL1344_RS00810,-1.582,-0.9207,-0.6613,-1.6275,-0.4302,-1.1973
SL1344_RS00820,2.2046,1.7284,0.4762,-0.0425,2.274,-2.3165
SL1344_RS00830,1.8421,1.3658,0.4763,2.7648,3.7146,-0.9498
SL1344_RS00835,-0.1508,0.7117,-0.8625,0.6494,1.8323,-1.1829
SL1344_RS00850,-1.015,-0.8813,-0.1337,0.2919,0.5578,-0.2659
SL1344_RS00860,-0.9653,-1.2351,0.2698,0.0887,0.1188,-0.0301
SL1344_RS00875,-1.2548,-0.9941,-0.2607,-2.158,-0.5333,-1.6247
SL1344_RS00880,1.3566,0.8804,0.4762,-1.2649,-1.0187,-0.2462
SL1344_RS00885,0.9092,-0.2192,1.1284,-0.0425,-0.5333,0.4908
SL1344_RS00890,0.6197,0.1434,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS00905,0.3302,-0.1461,0.4763,-1.6275,0.8203,-2.4478
SL1344_RS00910,0.4994,-0.2525,0.7519,0.6945,0.2037,0.4908
SL1344_RS00995,-0.6027,1.2429,-1.8456,-0.573,-0.7743,0.2013
SL1344_RS01005,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS01015,0.6197,0.1434,0.4763,-1.6275,-2.1183,0.4908
SL1344_RS01040,-0.9653,-1.152,0.1867,0.118,0.0231,0.0949
SL1344_RS01070,-0.7588,0.6909,-1.4497,-0.0425,0.2037,-0.2462
SL1344_RS01075,-0.0,-0.9759,0.9759,0.0377,0.1188,-0.0811
SL1344_RS01180,-0.9653,-0.342,-0.6233,0.5855,0.5308,0.0547
SL1344_RS01190,0.0892,0.5304,-0.4412,-3.2124,0.8203,-4.0327
SL1344_RS01205,0.9092,0.8804,0.0288,0.247,0.6891,-0.4421
SL1344_RS01210,-0.9653,-0.2192,-0.7461,3.1274,-0.5333,3.6607
SL1344_RS01245,0.6197,0.9319,-0.3122,1.356,1.1365,0.2195
SL1344_RS01260,-0.4155,0.1205,-0.536,-0.0203,-0.2506,0.2303
SL1344_RS01265,-1.8425,-0.7338,-1.1087,-0.6705,-0.5995,-0.071
SL1344_RS01270,0.7744,0.2484,0.526,-0.1986,-1.4264,1.2278
SL1344_RS01275,0.0872,0.0765,0.0107,0.0613,0.2078,-0.1465
SL1344_RS01285,1.5526,1.0763,0.4763,0.5194,0.2037,0.3157
SL1344_RS01300,0.6197,0.1434,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS01305,-0.4583,1.1049,-1.5632,-0.294,0.6557,-0.9497
SL1344_RS01310,-0.8209,-1.2972,0.4763,0.0778,-1.3564,1.4342
SL1344_RS01325,0.1722,-0.063,0.2352,0.6945,1.0517,-0.3572
SL1344_RS01340,-1.2548,0.5253,-1.7801,-0.0425,3.2533,-3.2958
SL1344_RS01345,0.3302,-0.5087,0.8389,-0.0425,0.0834,-0.1259
SL1344_RS01365,-0.9653,0.1434,-1.1087,0.4429,0.6042,-0.1613
SL1344_RS01395,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS01400,-1.7022,-0.5936,-1.1086,-2.8499,-0.1707,-2.6792
SL1344_RS01405,-0.1173,-2.1785,2.0612,-0.0425,1.7886,-1.8311
SL1344_RS01410,-0.9653,-1.4416,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS01415,2.2046,2.4653,-0.2607,-1.6275,-2.1183,0.4908
SL1344_RS01435,-2.1877,-1.079,-1.1087,-1.6275,-2.1183,0.4908
SL1344_RS01450,2.2046,1.7284,0.4762,-0.0425,1.7886,-1.8311
SL1344_RS01455,-1.2548,-3.316,2.0612,-1.2649,-1.7557,0.4908
SL1344_RS01460,0.6197,1.7284,-1.1087,-0.0425,0.1188,-0.1613
SL1344_RS01465,2.2046,1.7284,0.4762,-0.0425,0.2037,-0.2462
SL1344_RS01470,0.6197,-1.4416,2.0613,-1.6275,-1.3813,-0.2462
SL1344_RS01475,-2.5953,-1.3554,-1.2399,0.1936,-1.1672,1.3608
SL1344_RS01480,0.6197,0.1434,0.4763,-0.0425,2.9261,-2.9686
SL1344_RS01495,2.9416,0.1434,2.7982,-1.6275,-2.1183,0.4908
SL1344_RS01500,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS01505,0.6197,0.1434,0.4763,1.5425,-0.5333,2.0758
