sRNA,source,dAsd_aer_cpm,YB1_aer_cpm,log2FC_dAsd_vs_YB1
STnc3510,Kroger,87.7,0.0,6.471
STnc220,Rfam,11.2,570.7,-5.546
MicC,Rfam,109.1,2.3,5.044
SECIS_3,Rfam,0.0,26.3,-4.772
STnc1180,Kroger,5.6,163.0,-4.631
STnc3020,Kroger,0.0,21.6,-4.5
MicF,Rfam,73.1,2.3,4.473
cspA,Rfam,43.9,910.4,-4.345
STnc4010,Kroger,19.1,0.0,4.33
STnc420,Rfam,0.0,15.8,-4.07
STnc3100,Kroger,14.6,0.6,3.301
MicL,Rfam,13.5,136.8,-3.249
STnc4240,Kroger,2.2,29.2,-3.217
RprA,Rfam,84.3,8.8,3.128
STnc3420,Kroger,0.0,7.6,-3.106
STnc150,Rfam,3.4,36.2,-3.092
STnc3610,Kroger,1.1,16.4,-3.034
STnc3180,Kroger,6.8,0.0,2.954
STnc3430,Kroger,19.1,1.8,2.87
InvR,Rfam,4.5,39.1,-2.868
GcvB,Rfam,1222.2,177.7,2.775
STnc1010,Kroger,5.6,0.0,2.727
RtT,Rfam,125.9,19.9,2.605
tp2,Rfam,29.2,179.5,-2.578
STnc870,Kroger,3.4,24.0,-2.515
STnc100,Rfam,1.1,11.1,-2.513
hilD_3p_UTR,Rfam,1.1,11.1,-2.513
STnc1990,Kroger,18.0,2.3,2.509
STnc3130,Kroger,54.0,8.8,2.492
RtT,Rfam,23.6,3.5,2.45
STnc1670,Kroger,0.0,4.1,-2.349
STnc590,Rfam,0.0,4.1,-2.348
JUMPstart,Rfam,0.0,4.1,-2.348
mgtC_leader,Rfam,39.4,7.6,2.231
cspA,Rfam,535.2,2451.6,-2.193
STnc840,Kroger,3.4,18.7,-2.172
STnc1410,Kroger,0.0,3.5,-2.172
YrlB,Rfam,3.4,0.0,2.128
STnc1540,Kroger,3.4,0.0,2.128
STnc3990,Kroger,36.0,7.6,2.104
STnc800,Kroger,23.6,101.1,-2.053
STnc1150,Kroger,7.9,1.2,2.031
STnc3150,Kroger,133.8,32.2,2.023
CopA,Rfam,157.4,625.5,-1.984
MicA,Rfam,19.1,78.3,-1.98
STnc2010,Kroger,0.0,2.9,-1.973
STnc740,Kroger,13.5,2.9,1.884
STnc290,Rfam,4.5,19.3,-1.883
STnc850,Kroger,34.9,8.8,1.876
CyaR_RyeE,Rfam,9.0,1.8,1.861
STnc490,Rfam,2.2,10.5,-1.827
STnc3070,Kroger,4.5,0.6,1.795
STnc750,Kroger,14.6,3.5,1.794
Cobalamin,Rfam,3.4,14.0,-1.782
tpke11,Rfam,109.1,31.6,1.757
STnc3960,Kroger,4.5,17.5,-1.752
isrP,Rfam,2.2,9.9,-1.751
tpke70,Kroger,107.9,31.6,1.741
STnc3890,Kroger,18.0,4.7,1.741
STnc510,Rfam,0.0,2.3,-1.74
Rev39_5p_UTR,Rfam,94.5,312.0,-1.714
SECIS_3,Rfam,2.2,0.0,1.7
YrlA,Rfam,2.2,0.0,1.7
YrlA,Rfam,2.2,0.0,1.7
STnc380,Rfam,2.2,0.0,1.7
JUMPstart,Rfam,2.2,0.0,1.7
STnc3530,Kroger,2.2,0.0,1.7
STnc1130,Kroger,2.2,0.0,1.7
STnc3170,Kroger,2.2,0.0,1.7
STnc810,Kroger,2.2,0.0,1.7
STnc1510,Kroger,19.1,5.3,1.684
DapZ,Rfam,20.2,5.8,1.634
frnS,Rfam,816.3,263.5,1.628
