idx	name	locus_tag	type	start	end	strand
0	thrL	SL1344_RS00005	mrna	190	255	+
1	thrA	SL1344_RS00010	mrna	337	2799	+
2	thrB	SL1344_RS00015	mrna	2801	3730	+
3	thrC	SL1344_RS00020	mrna	3734	5020	+
4	yaaA	SL1344_RS00025	mrna	5114	5887	-
5	SL1344_RS00030	SL1344_RS00030	mrna	5966	7396	-
6	tal	SL1344_RS00035	mrna	7665	8618	+
7	mog	SL1344_RS00040	mrna	8729	9319	+
8	satP	SL1344_RS00045	mrna	9376	9942	-
9	msyB	SL1344_RS00050	mrna	10092	10805	-
10	SL1344_RS00055	SL1344_RS00055	mrna	10841	11245	-
11	dnaK	SL1344_RS00060	mrna	11593	13509	+
12	dnaJ	SL1344_RS00065	mrna	13595	14734	+
13	SL1344_RS00070	SL1344_RS00070	mrna	15014	15961	+
14	SL1344_RS00075	SL1344_RS00075	mrna	16088	16432	+
15	SL1344_RS00080	SL1344_RS00080	mrna	16493	17026	-
16	SL1344_RS00085	SL1344_RS00085	mrna	17043	17486	-
17	SL1344_RS00090	SL1344_RS00090	mrna	17867	19966	+
18	SL1344_RS00095	SL1344_RS00095	mrna	20058	23054	+
19	SL1344_RS00100	SL1344_RS00100	mrna	23335	24039	+
20	SL1344_RS00105	SL1344_RS00105	mrna	24469	25011	+
21	bcfB	SL1344_RS00110	mrna	25112	25798	+
22	bcfC	SL1344_RS00115	mrna	25803	28424	+
23	SL1344_RS00120	SL1344_RS00120	mrna	28425	29432	+
24	SL1344_RS00125	SL1344_RS00125	mrna	29433	29978	+
25	SL1344_RS00130	SL1344_RS00130	mrna	29994	30512	+
26	bcfG	SL1344_RS00135	mrna	30478	31209	+
27	SL1344_RS00140	SL1344_RS00140	mrna	31274	32119	+
28	SL1344_RS00145	SL1344_RS00145	mrna	32158	32445	+
29	SL1344_RS00150	SL1344_RS00150	mrna	32545	32994	-
30	SL1344_RS00155	SL1344_RS00155	mrna	33364	34368	+
31	SL1344_RS00160	SL1344_RS00160	mrna	34376	34816	-
32	SL1344_RS00165	SL1344_RS00165	mrna	35339	37057	+
33	SL1344_RS00170	SL1344_RS00170	mrna	37103	38674	-
34	SL1344_RS00175	SL1344_RS00175	mrna	38773	39534	-
35	SL1344_RS00180	SL1344_RS00180	mrna	40131	41624	+
36	SL1344_RS00185	SL1344_RS00185	mrna	41723	42913	+
37	SL1344_RS00190	SL1344_RS00190	mrna	42932	44185	+
38	SL1344_RS00195	SL1344_RS00195	mrna	44312	46027	+
39	nhaA	SL1344_RS00200	mrna	46190	47356	+
40	nhaR	SL1344_RS00205	mrna	47418	48317	+
41	SL1344_RS00210	SL1344_RS00210	mrna	48372	50411	-
42	SL1344_RS00215	SL1344_RS00215	mrna	50451	51824	-
43	rpsT	SL1344_RS00220	mrna	52280	52543	-
44	SL1344_RS00225	SL1344_RS00225	mrna	52649	52864	+
45	ribF	SL1344_RS00230	mrna	52872	53810	+
46	ileS	SL1344_RS00235	mrna	53855	56689	+
47	lspA	SL1344_RS00240	mrna	56689	57189	+
48	fkpB	SL1344_RS00245	mrna	57344	57793	+
49	ispH	SL1344_RS00250	mrna	57796	58746	+
50	SL1344_RS00255	SL1344_RS00255	mrna	58946	60148	+
51	rihC	SL1344_RS00260	mrna	60164	61084	+
52	SL1344_RS00265	SL1344_RS00265	mrna	61106	61792	-
53	SL1344_RS00270	SL1344_RS00270	mrna	61794	63413	-
54	SL1344_RS00275	SL1344_RS00275	mrna	63548	64849	-
55	oadA	SL1344_RS00280	mrna	64862	66637	-
56	SL1344_RS00285	SL1344_RS00285	mrna	66654	66893	-
