lim_idx	lim_name	lim_type	sl1344_idx	sl1344_name	sl1344_locus_tag	match_type
0	thrL	mrna	0	thrL	SL1344_RS00005	exact_lower
1	thrA	mrna	1	thrA	SL1344_RS00010	exact_lower
2	thrB	mrna	2	thrB	SL1344_RS00015	exact_lower
3	thrC	mrna	3	thrC	SL1344_RS00020	exact_lower
4	yaaX	mrna	-1			none
5	talB	mrna	-1			none
6	mog	mrna	7	mog	SL1344_RS00040	exact_lower
7	mbiA	mrna	-1			none
8	dnaK	mrna	11	dnaK	SL1344_RS00060	exact_lower
9	dnaJ	mrna	12	dnaJ	SL1344_RS00065	exact_lower
10	insL1	mrna	-1			none
11	nhaA	mrna	39	nhaA	SL1344_RS00200	exact_lower
12	nhaR	mrna	40	nhaR	SL1344_RS00205	exact_lower
13	yaaY	mrna	-1			none
14	ribF	mrna	45	ribF	SL1344_RS00230	exact_lower
15	ileS	mrna	46	ileS	SL1344_RS00235	exact_lower
16	lspA	mrna	47	lspA	SL1344_RS00240	exact_lower
17	fkpB	mrna	48	fkpB	SL1344_RS00245	exact_lower
18	ispH	mrna	49	ispH	SL1344_RS00250	exact_lower
19	rihC	mrna	51	rihC	SL1344_RS00260	exact_lower
20	dapB	mrna	64	dapB	SL1344_RS00325	exact_lower
21	carA	mrna	66	carA	SL1344_RS00335	exact_lower
22	carB	mrna	67	carB	SL1344_RS00340	exact_lower
23	caiF	mrna	68	caiF	SL1344_RS00345	exact_lower
24	fixA	mrna	-1			none
25	fixB	mrna	-1			none
26	fixC	mrna	-1			none
27	fixX	mrna	77	fixX	SL1344_RS00400	exact_lower
28	yaaU	mrna	-1			none
29	kefF	mrna	83	kefF	SL1344_RS00435	exact_lower
30	kefC	mrna	84	kefC	SL1344_RS00440	exact_lower
31	folA	mrna	85	folA	SL1344_RS00445	exact_lower
32	djlA	mrna	92	djlA	SL1344_RS00480	exact_lower
33	yabP	mrna	-1			none
34	yabQ	mrna	-1			none
35	araC	mrna	101	araC	SL1344_RS00525	exact_lower
36	yabI	mrna	-1			none
37	sgrT	mrna	107	sgrT	SL1344_RS00555	exact_lower
38	setA	mrna	-1			none
39	leuO	mrna	113	leuO	SL1344_RS00585	exact_lower
40	ilvI	mrna	114	ilvI	SL1344_RS00590	exact_lower
41	ilvH	mrna	-1			none
42	cra	mrna	116	cra	SL1344_RS00600	exact_lower
43	mraZ	mrna	117	mraZ	SL1344_RS00605	exact_lower
44	rsmH	mrna	118	rsmH	SL1344_RS00610	exact_lower
45	ftsL	mrna	119	ftsL	SL1344_RS00615	exact_lower
46	ftsI	mrna	120	ftsI	SL1344_RS00620	exact_lower
47	murE	mrna	121	murE	SL1344_RS00625	exact_lower
48	murF	mrna	122	murF	SL1344_RS00630	exact_lower
49	mraY	mrna	123	mraY	SL1344_RS00635	exact_lower
50	murD	mrna	124	murD	SL1344_RS00640	exact_lower
51	ftsW	mrna	125	ftsW	SL1344_RS00645	exact_lower
52	murG	mrna	126	murG	SL1344_RS00650	exact_lower
53	murC	mrna	127	murC	SL1344_RS00655	exact_lower
54	ddlB	mrna	-1			none
55	ftsQ	mrna	129	ftsQ	SL1344_RS00665	exact_lower
56	ftsA	mrna	130	ftsA	SL1344_RS00670	exact_lower
57	ftsZ	mrna	131	ftsZ	SL1344_RS00675	exact_lower
58	lpxC	mrna	132	lpxC	SL1344_RS00680	exact_lower
59	secM	mrna	133	secM	SL1344_RS00685	exact_lower
60	secA	mrna	134	secA	SL1344_RS00690	exact_lower
61	mutT	mrna	135	mutT	SL1344_RS00695	exact_lower
62	yacM	mrna	-1			none
63	guaC	mrna	-1			none
64	ampD	mrna	144	ampD	SL1344_RS00745	exact_lower
65	ampE	mrna	145	ampE	SL1344_RS00750	exact_lower
66	pdhR	mrna	149	pdhR	SL1344_RS00770	exact_lower
67	aceE	mrna	150	aceE	SL1344_RS00775	exact_lower
68	aceF	mrna	151	aceF	SL1344_RS00780	exact_lower
69	lpd	mrna	-1			none
70	acnB	mrna	155	acnB	SL1344_RS00805	exact_lower
71	yacL	mrna	157	yacL	SL1344_RS00815	exact_lower
72	cueO	mrna	165	cueO	SL1344_RS00855	exact_lower
73	hpt	mrna	167	hpt	SL1344_RS00865	exact_lower
74	yadG	mrna	-1			none
75	yadH	mrna	-1			none
76	yadI	mrna	-1			none
77	yadE	mrna	-1			none
78	rpnC	mrna	-1			none
79	hrpB	mrna	186	hrpB	SL1344_RS00960	exact_lower
80	mrcB	mrna	187	mrcB	SL1344_RS00965	exact_lower
81	fhuA	mrna	188	fhuA	SL1344_RS00970	exact_lower
82	fhuC	mrna	189	fhuC	SL1344_RS00975	exact_lower
83	fhuD	mrna	190	fhuD	SL1344_RS00980	exact_lower
84	fhuB	mrna	191	fhuB	SL1344_RS00985	exact_lower
85	yadX	mrna	-1			none
86	clcA	mrna	200	clcA	SL1344_RS01030	exact_lower
87	yadW	mrna	-1			none
88	erpA	mrna	201	erpA	SL1344_RS01035	exact_lower
89	dgt	mrna	205	dgt	SL1344_RS01055	exact_lower
90	degP	mrna	206	degP	SL1344_RS01060	exact_lower
91	cdaR	mrna	207	cdaR	SL1344_RS01065	exact_lower
92	rpsB	mrna	213	rpsB	SL1344_RS01095	exact_lower
93	tsf	mrna	214	tsf	SL1344_RS01100	exact_lower
94	pyrH	mrna	215	pyrH	SL1344_RS01105	exact_lower
95	frr	mrna	216	frr	SL1344_RS01110	exact_lower
96	dxr	mrna	-1			none
97	ispU	mrna	218	ispU	SL1344_RS01120	exact_lower
98	cdsA	mrna	219	cdsA	SL1344_RS01125	exact_lower
99	rseP	mrna	220	rseP	SL1344_RS01130	exact_lower
100	bamA	mrna	221	bamA	SL1344_RS01135	exact_lower
101	skp	mrna	222	skp	SL1344_RS01140	exact_lower
102	lpxD	mrna	223	lpxD	SL1344_RS01145	exact_lower
103	fabZ	mrna	224	fabZ	SL1344_RS01150	exact_lower
104	lpxA	mrna	225	lpxA	SL1344_RS01155	exact_lower
105	lpxB	mrna	226	lpxB	SL1344_RS01160	exact_lower
106	rnhB	mrna	227	rnhB	SL1344_RS01165	exact_lower
107	dnaE	mrna	228	dnaE	SL1344_RS01170	exact_lower
108	accA	mrna	229	accA	SL1344_RS01175	exact_lower
109	ldcC	mrna	231	ldcC	SL1344_RS01185	exact_lower
110	yaeR	mrna	-1			none
111	tilS	mrna	233	tilS	SL1344_RS01195	exact_lower
112	yaeQ	mrna	-1			none
113	arfB	mrna	237	arfB	SL1344_RS01215	exact_lower
114	nlpE	mrna	238	nlpE	SL1344_RS01220	exact_lower
115	gmhB	mrna	245	gmhB	SL1344_RS01255	exact_lower
116	dkgB	mrna	246	dkgB	SL1344_RS01290	exact_lower
117	yafD	mrna	-1			none
118	yafE	mrna	-1			none
119	yafS	mrna	-1			none
120	dnaQ	mrna	255	dnaQ	SL1344_RS01335	exact_lower
121	yafT	mrna	-1			none
122	ivy	mrna	-1			none
123	gmhA	mrna	-1			none
124	yafJ	mrna	-1			none
125	yafL	mrna	-1			none
126	rayT	mrna	-1			none
127	dinB	mrna	305	dinB	SL1344_RS01605	exact_lower
128	yafN	mrna	-1			none
129	yafO	mrna	-1			none
130	yafP	mrna	-1			none
131	gpt	mrna	308	gpt	SL1344_RS01625	exact_lower
132	frsA	mrna	309	frsA	SL1344_RS01630	exact_lower
133	crl	mrna	310	crl	SL1344_RS01635	exact_lower
134	proB	mrna	312	proB	SL1344_RS01645	exact_lower
135	proA	mrna	313	proA	SL1344_RS01650	exact_lower
136	insI1	mrna	-1			none
137	ykfC	mrna	-1			none
138	mmuP	mrna	-1			none
139	mmuM	mrna	-1			none
140	yagE	mrna	-1			none
141	yagF	mrna	-1			none
142	yagG	mrna	-1			none
143	yagH	mrna	-1			none
144	ykgS	mrna	-1			none
145	yagJ	mrna	-1			none
146	yagU	mrna	-1			none
147	ykgL	mrna	-1			none
148	insE1	mrna	-1			none
149	insF1	mrna	-1			none
150	rclR	mrna	541	rclR	SL1344_RS02845	exact_lower
151	ykgE	mrna	-1			none
152	ykgF	mrna	-1			none
153	ykgG	mrna	-1			none
154	betT	mrna	-1			none
155	yahV	mrna	-1			none
156	pdeL	mrna	-1			none
157	yahD	mrna	-1			none
158	yahE	mrna	-1			none
159	yahF	mrna	-1			none
160	yahG	mrna	-1			none
161	yahH	mrna	-1			none
162	yahI	mrna	-1			none
163	yahJ	mrna	-1			none
164	yahK	mrna	-1			none
165	yahL	mrna	-1			none
166	yahM	mrna	-1			none
167	yahO	mrna	351	yahO	SL1344_RS01875	exact_lower
168	prpB	mrna	353	prpB	SL1344_RS01885	exact_lower
169	prpC	mrna	354	prpC	SL1344_RS01890	exact_lower
170	prpD	mrna	-1			none
171	prpE	mrna	356	prpE	SL1344_RS01900	exact_lower
172	codB	mrna	3304	codB	SL1344_RS17220	exact_lower
173	codA	mrna	-1			none
174	cynT	mrna	-1			none
175	cynS	mrna	-1			none
176	cynX	mrna	-1			none
177	mhpA	mrna	-1			none
178	mhpB	mrna	-1			none
179	mhpC	mrna	-1			none
180	mhpD	mrna	-1			none
181	mhpF	mrna	-1			none
182	mhpE	mrna	-1			none
183	mhpT	mrna	-1			none
184	yaiL	mrna	-1			none
185	insC1	mrna	-1			none
186	insD1	mrna	-1			none
187	tauA	mrna	-1			none
188	tauB	mrna	-1			none
189	tauC	mrna	-1			none
190	tauD	mrna	-1			none
191	yaiT	mrna	-1			none
192	iprA	mrna	359	iprA	SL1344_RS01915	exact_lower
193	sbmA	mrna	361	sbmA	SL1344_RS01925	exact_lower
194	yaiW	mrna	362	yaiW	SL1344_RS01930	exact_lower
195	yaiZ	mrna	-1			none
196	iraP	mrna	368	iraP	SL1344_RS01960	exact_lower
197	phoA	mrna	-1			none
198	psiF	mrna	369	psiF	SL1344_RS01965	exact_lower
199	dgcC	mrna	-1			none
200	yaiI	mrna	-1			none
201	aroL	mrna	373	aroL	SL1344_RS01985	exact_lower
202	yaiA	mrna	374	yaiA	SL1344_RS01990	exact_lower
203	aroM	mrna	-1			none
204	ppnP	mrna	376	ppnP	SL1344_RS02000	exact_lower
205	ykiD	mrna	-1			none
206	mak	mrna	378	mak	SL1344_RS02010	exact_lower
207	phoB	mrna	382	phoB	SL1344_RS02035	exact_lower
208	phoR	mrna	383	phoR	SL1344_RS02040	exact_lower
209	brnQ	mrna	384	brnQ	SL1344_RS02045	exact_lower
210	proY	mrna	385	proY	SL1344_RS02050	exact_lower
211	malZ	mrna	386	malZ	SL1344_RS02055	exact_lower
212	queA	mrna	389	queA	SL1344_RS02070	exact_lower
213	tgt	mrna	390	tgt	SL1344_RS02075	exact_lower
214	yajC	mrna	391	yajC	SL1344_RS02080	exact_lower
215	secD	mrna	392	secD	SL1344_RS02085	exact_lower
216	secF	mrna	393	secF	SL1344_RS02090	exact_lower
217	yajD	mrna	396	yajD	SL1344_RS02105	exact_lower
218	nrdR	mrna	400	nrdR	SL1344_RS02125	exact_lower
219	ribD	mrna	401	ribD	SL1344_RS02130	exact_lower
220	ribE	mrna	402	ribE	SL1344_RS02135	exact_lower
221	nusB	mrna	403	nusB	SL1344_RS02140	exact_lower
222	thiL	mrna	404	thiL	SL1344_RS02145	exact_lower
223	pgpA	mrna	405	pgpA	SL1344_RS02150	exact_lower
224	thiI	mrna	410	thiI	SL1344_RS02175	exact_lower
225	yajQ	mrna	-1			none
226	bolA	mrna	431	bolA	SL1344_RS02280	exact_lower
227	tig	mrna	432	tig	SL1344_RS02285	exact_lower
228	clpP	mrna	433	clpP	SL1344_RS02290	exact_lower
229	clpX	mrna	434	clpX	SL1344_RS02295	exact_lower
230	lon	mrna	435	lon	SL1344_RS02300	exact_lower
231	hupB	mrna	436	hupB	SL1344_RS02305	exact_lower
232	ppiD	mrna	437	ppiD	SL1344_RS02310	exact_lower
233	ybaV	mrna	-1			none
234	fadM	mrna	439	fadM	SL1344_RS02320	exact_lower
235	cof	mrna	442	cof	SL1344_RS02335	exact_lower
236	decR	mrna	444	decR	SL1344_RS02345	exact_lower
237	mdlA	mrna	-1			none
238	mdlB	mrna	-1			none
239	glnK	mrna	447	glnK	SL1344_RS02360	exact_lower
240	amtB	mrna	448	amtB	SL1344_RS02365	exact_lower
241	ybaY	mrna	-1			none
242	ybaA	mrna	-1			none
