name	source	chrom	start	end	strand	YB1_aer_MinION_raw	YB1_aer_MinION_cpm	YB1_aer_0508_raw	YB1_aer_0508_cpm	YB1_ana_v2_raw	YB1_ana_v2_cpm	YB1_ana_0507_raw	YB1_ana_0507_cpm	YB1_ana_0508_raw	YB1_ana_0508_cpm	SL7207_aer_0507_raw	SL7207_aer_0507_cpm	SL7207_aer_0509_raw	SL7207_aer_0509_cpm	SL7207_ana_0509_raw	SL7207_ana_0509_cpm	dAsd_aer_0511_raw	dAsd_aer_0511_cpm	dAsd_ana_0512_raw	dAsd_ana_0512_cpm	dAsd_aer_0514_raw	dAsd_aer_0514_cpm	dAsd_ana_0514_raw	dAsd_ana_0514_cpm
Thr_leader	Rfam	NC_016810.1	190	311	+	37	129.92	79	92.3	27	194.76	79	94.9	89	179.11	19	26.3	24	40.49	100	77.47	88	98.94	94	101.64	11	36.51	87	92.24
tpke11	Rfam	NC_016810.1	13519	13594	+	9	31.6	27	31.54	3	21.64	114	136.94	63	126.79	12	16.61	15	25.31	127	98.39	97	109.06	58	62.71	12	39.83	33	34.99
STnc30	Rfam	NC_016810.1	58791	58923	+	2	7.02	22	25.7	0	0.0	17	20.42	8	16.1	11	15.23	32	53.99	45	34.86	9	10.12	5	5.41	5	16.59	11	11.66
DapZ	Rfam	NC_016810.1	74846	74924	+	2	7.02	4	4.67	1	7.21	16	19.22	10	20.12	4	5.54	4	6.75	8	6.2	18	20.24	24	25.95	7	23.23	18	19.08
naRNA4	Rfam	NC_016810.1	92058	92141	-	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	1.12	0	0.0	1	3.32	0	0.0
STnc470	Rfam	NC_016810.1	94550	94773	+	1	3.51	5	5.84	0	0.0	2	2.4	1	2.01	2	2.77	6	10.12	5	3.87	4	4.5	2	2.16	1	3.32	3	3.18
TPP	Rfam	NC_016810.1	126704	126804	-	1	3.51	1	1.17	0	0.0	2	2.4	1	2.01	4	5.54	0	0.0	9	6.97	2	2.25	2	2.16	2	6.64	4	4.24
SgrS	Rfam	NC_016810.1	128576	128815	+	6	21.07	34	39.72	4	28.85	21	25.23	27	54.34	8	11.07	7	11.81	16	12.4	9	10.12	12	12.97	5	16.59	11	11.66
Leu_leader	Rfam	NC_016810.1	133781	133929	-	12	42.14	200	233.67	11	79.35	166	199.41	128	257.6	138	191.02	91	153.53	254	196.78	105	118.06	109	117.86	23	76.33	100	106.02
PssrA	Rfam	NC_016810.1	155604	155694	+	6	21.07	8	9.35	1	7.21	17	20.42	10	20.12	10	13.84	14	23.62	34	26.34	21	23.61	18	19.46	11	36.51	28	29.69
STnc40	Rfam	NC_016810.1	161467	161535	+	7	24.58	22	25.7	0	0.0	18	21.62	10	20.12	16	22.15	24	40.49	37	28.66	13	14.62	17	18.38	6	19.91	15	15.9
tp2	Rfam	NC_016810.1	176127	176240	-	39	136.95	190	221.98	10	72.13	86	103.31	46	92.57	188	260.23	239	403.23	349	270.38	26	29.23	23	24.87	16	53.1	81	85.88
STnc50	Rfam	NC_016810.1	182461	182543	-	18	63.21	74	86.46	2	14.43	27	32.43	40	80.5	54	74.75	68	114.73	118	91.42	26	29.23	20	21.62	10	33.19	29	30.75
HtrA_thermometer	Rfam	NC_016810.1	244447	244493	+	0	0.0	1	1.17	0	0.0	5	6.01	2	4.02	1	1.38	3	5.06	11	8.52	3	3.37	6	6.49	3	9.96	3	3.18
t44	Rfam	NC_016810.1	254176	254263	+	31	108.86	125	146.04	8	57.71	85	102.11	78	156.97	139	192.4	89	150.16	227	175.86	179	201.26	161	174.08	53	175.9	153	162.21
CssrA	Rfam	NC_016810.1	255102	255212	+	41	143.97	129	150.71	14	100.99	106	127.33	72	144.9	131	181.33	86	145.1	254	196.78	176	197.89	176	190.3	58	192.5	162	171.76
SSU_rRNA_archaea	Rfam	NC_016810.1	289174	290709	+	3737	13122.41	11951	13962.74	2413	17405.79	19991	24014.02	9119	18351.71	10131	14023.33	14344	24200.62	28669	22210.69	18086	20334.99	14968	16184.07	5985	19863.53	19929	21129.07
SSU_rRNA_eukarya	Rfam	NC_016810.1	289174	290706	+	3737	13122.41	11951	13962.74	2413	17405.79	19991	24014.02	9119	18351.71	10131	14023.33	14344	24200.62	28669	22210.69	18086	20334.99	14968	16184.07	5985	19863.53	19929	21129.07
SSU_rRNA_microsporidia	Rfam	NC_016810.1	289174	290706	+	3737	13122.41	11951	13962.74	2413	17405.79	19991	24014.02	9119	18351.71	10131	14023.33	14344	24200.62	28669	22210.69	18086	20334.99	14968	16184.07	5985	19863.53	19929	21129.07
StyR-44	Rfam	NC_016810.1	291108	291217	+	103	361.68	478	558.46	27	194.76	371	445.66	270	543.37	290	401.42	230	388.05	546	423.0	859	965.82	1232	1332.09	250	829.72	868	920.27
LSU_rRNA_archaea	Rfam	NC_016810.1	291223	294314	+	34609	121528.9	96178	112367.85	12070	87065.04	86088	103412.49	51635	103913.85	77602	107416.68	61513	103782.28	128208	99326.37	100456	112947.67	115125	124478.3	32390	107498.69	99153	105123.71
